Date,CNH,IND,IDN,JPN,KOR,MYS,PHL,SGP,TWN,THA
1/1/2019,43682561.00,1184845.00,3853179.00,3818160.00,5895278.00,1991905.00,328554.00,11165211.00,861169.00,1888859.00
2/1/2019,28390008.00,1459525.00,3545291.00,3097871.00,5713228.00,2030738.00,637217.00,9901882.00,939536.00,1847469.00
3/1/2019,38428538.00,1850315.00,3511155.00,3840530.00,5768993.00,2163825.00,364744.00,10993572.00,1331161.00,2072255.00
4/1/2019,38111293.00,2076768.00,4040315.00,3475653.00,5888356.00,1985465.00,485919.00,11210290.00,853863.00,1695021.00
5/1/2019,42060391.00,1850865.00,4161023.00,3226113.00,6779909.00,1965937.00,291995.00,11747257.00,858659.00,1777594.00
6/1/2019,40220610.00,1310197.00,3225995.00,3655622.00,6635270.00,2011055.00,349608.00,11479191.00,919380.00,1595204.00
7/1/2019,39422140.00,1504466.00,3266403.00,3780370.00,6847177.00,1415430.00,350701.00,11564751.00,1289583.00,1455043.00
8/1/2019,38769243.00,1596837.00,3591533.00,3125362.00,6076722.00,1784821.00,493854.00,11127540.00,1254899.00,1719349.00
9/1/2019,37330135.00,983144.00,3341462.00,3641967.00,6144611.00,1707596.00,322224.00,11427513.00,1429981.00,1799322.00
10/1/2019,39123134.00,1044760.00,2999206.00,3749213.00,7649328.00,1840063.00,354552.00,12613395.00,1504674.00,1571099.00
11/1/2019,38360323.00,1009348.00,3669670.00,3797409.00,6677531.00,1889906.00,359921.00,10798207.00,1092013.00,2092202.00
12/1/2019,39570051.00,1369161.00,3243430.00,3984006.00,6088823.00,1625573.00,353669.00,9518391.00,1003751.00,2730279.00
1/1/2020,40059595.00,1045090.00,3341289.00,2948048.00,5578568.00,1573779.00,496677.00,9496460.00,607093.00,1758691.00
2/1/2020,24035953.00,1929604.00,3460040.00,3318484.00,7535113.00,1940393.00,691465.00,10971265.00,956455.00,1712262.00
3/1/2020,39769842.00,2399294.00,3518833.00,3541438.00,7436810.00,1334452.00,424965.00,11961211.00,1361027.00,1906164.00
4/1/2020,38254900.00,1842886.00,3176403.00,3361612.00,6035895.00,1362185.00,417455.00,10793175.00,1076744.00,1477343.00
5/1/2020,39188553.00,2471336.00,3180235.00,2426923.00,6217751.00,1653367.00,402220.00,9149363.00,1295344.00,1534518.00
6/1/2020,39056917.00,2454086.00,2869335.00,2993781.00,5654269.00,1814771.00,591031.00,9883393.00,1221200.00,1259639.00
7/1/2020,39177066.00,2881677.00,3480065.00,2927681.00,6455997.00,1612403.00,421095.00,10054054.00,1241426.00,1317616.00
8/1/2020,38346147.00,2560893.00,3348796.00,3211880.00,6200233.00,1404655.00,995834.00,10537315.00,927524.00,1293094.00
9/1/2020,40274787.00,2274942.00,2909318.00,2951150.00,5946531.00,1705055.00,554555.00,9868560.00,1102441.00,1318781.00
10/1/2020,41967851.00,2020729.00,3699542.00,3172584.00,6074218.00,1930874.00,783339.00,10657606.00,1202305.00,2202113.00
11/1/2020,41324489.00,2345185.00,3240522.00,3229313.00,5323970.00,1911819.00,478276.00,9773675.00,1061397.00,2081465.00
12/1/2020,42642895.00,2572867.00,3481812.00,3379504.00,4449858.00,1932932.00,369260.00,10386184.00,1167333.00,2402313.00
1/1/2021,43355395.00,2234412.00,3940389.00,3070352.00,4897030.00,1991583.00,416481.00,11030118.00,1033893.00,2434749.00
2/1/2021,33731684.00,1537732.00,2720942.00,2606105.00,5976788.00,1796093.00,523672.00,9829784.00,791382.00,2394231.00
3/1/2021,40355507.00,2728918.00,3609666.00,3459554.00,6189336.00,2053423.00,444715.00,11159496.00,951777.00,2454490.00
4/1/2021,43900753.00,2559821.00,3248295.00,2831473.00,5775137.00,1771173.00,354689.00,10081317.00,1011647.00,1403471.00
5/1/2021,41044398.00,2462681.00,3321966.00,2987671.00,6583390.00,1518828.00,775258.00,9525464.00,1023308.00,1483466.00
6/1/2021,39881764.00,2329741.00,2828304.00,3034381.00,5878711.00,1425210.00,531995.00,9287329.00,1011195.00,1758791.00
7/1/2021,35725005.00,2378930.00,3813183.00,2676001.00,5947655.00,1604889.00,439558.00,9677950.00,1066769.00,1943832.00
8/1/2021,37675798.00,2244886.00,3682722.00,3275453.00,5569542.00,1835409.00,352633.00,9190738.00,1177513.00,3015854.00
9/1/2021,35386095.00,2003115.00,3281865.00,2934149.00,5572957.00,1493952.00,409852.00,9173842.00,1088584.00,2789126.00
10/1/2021,38844897.00,1732352.00,3415395.00,2895892.00,6513291.00,1744515.00,421192.00,9453079.00,1216715.00,2658910.00
11/1/2021,40589799.00,1322035.00,3812038.00,2920569.00,4380426.00,2143770.00,477488.00,8980755.00,858098.00,2520395.00
12/1/2021,43996435.00,1257784.00,3705330.00,3100296.00,3687101.00,2196484.00,339115.00,8009233.00,950854.00,3058769.00
1/1/2022,43881097.00,1987163.00,3216191.00,2745090.00,4598621.00,2196962.00,431500.00,8658361.00,598073.00,2916800.00
2/1/2022,30779776.00,1884514.00,3793155.00,3049214.00,4108101.00,2076664.00,336844.00,8628798.00,764938.00,3281951.00
3/1/2022,38926503.00,2464106.00,4051421.00,3811425.00,4188534.00,2270915.00,668882.00,9211247.00,922549.00,3158071.00
4/1/2022,36901079.00,2848360.00,3774659.00,3082898.00,4800609.00,2149101.00,467087.00,9312855.00,833986.00,2801421.00
5/1/2022,40597664.00,2427265.00,3578120.00,3112271.00,4716989.00,1965010.00,589449.00,9211453.00,953046.00,3392706.00
6/1/2022,42172883.00,2635572.00,4273695.00,3104361.00,4393149.00,1982664.00,633005.00,9300956.00,922044.00,3419977.00
7/1/2022,42737866.00,2183051.00,5120194.00,2788907.00,4642985.00,2256773.00,261036.00,9442064.00,865657.00,2851455.00
8/1/2022,39770853.00,2358238.00,4811843.00,3271789.00,4337413.00,3063076.00,581309.00,10453446.00,1126251.00,3025578.00
9/1/2022,36587986.00,2373967.00,5151128.00,3408912.00,4239207.00,3201959.00,435821.00,10074752.00,654799.00,3083699.00
10/1/2022,35741625.00,1853930.00,5014319.00,2815185.00,4663025.00,2793424.00,572241.00,9666485.00,671816.00,3199946.00
11/1/2022,35949973.00,1878293.00,4562328.00,2877319.00,4191937.00,2708335.00,358046.00,9507065.00,786907.00,2930875.00
12/1/2022,38275868.00,2356539.00,4743946.00,2873131.00,4248292.00,2713728.00,340123.00,9370474.00,701506.00,3231034.00
1/1/2023,37150201.00,2246556.00,4242099.00,2828917.00,4243281.00,2788076.00,559954.00,9709245.00,813483.00,2907600.00
2/1/2023,30140795.00,2226891.00,4222417.00,2491869.00,4848551.00,2759855.00,409570.00,9326784.00,783852.00,3428934.00
3/1/2023,42975047.00,2340311.00,5151596.00,3480145.00,5024636.00,2968963.00,693517.00,9710520.00,725662.00,3570116.00
4/1/2023,40980153.00,1897645.00,4830501.00,2566791.00,4477476.00,2726988.00,505789.00,9838951.00,698127.00,3034360.00
5/1/2023,38021456.00,2195174.00,4387178.00,2423007.00,4853704.00,2640901.00,286945.00,9711968.00,880859.00,3521956.00
6/1/2023,39406158.00,1982784.00,4966609.00,2245917.00,3783374.00,2447987.00,598622.00,10114408.00,691266.00,3214828.00
7/1/2023,39448634.00,1938267.00,5401403.00,3040638.00,4236369.00,2298334.00,576429.00,9611975.00,728202.00,3158293.00
8/1/2023,38605937.00,1974602.00,5125680.00,2716962.00,4386900.00,2693396.00,632458.00,9832197.00,706285.00,3228222.00
9/1/2023,37007509.00,1616675.00,5037988.00,3035210.00,4748935.00,2319838.00,516996.00,8782279.00,799455.00,3027152.00
10/1/2023,32545540.00,1499094.00,5463629.00,2452251.00,4137296.00,2400802.00,382347.00,8665848.00,695441.00,3322237.00
